_id,Serial No,Timestamp,Temperature,Humidity,latitude,longitude
306,1392996745,2014-02-21T21:02:25,25.5,56,13.00361,77.61818
307,1392997053,2014-02-21T21:07:33,25.5,56,13.00361,77.61818
308,1392997361,2014-02-21T21:12:41,25.5,56,13.00361,77.61818
309,1392997668,2014-02-21T21:17:48,25.4,56,13.00361,77.61818
310,1392997976,2014-02-21T21:22:56,25.3,56,13.00361,77.61818
311,1392998283,2014-02-21T21:28:03,25.2,57,13.00361,77.61818
312,1392998591,2014-02-21T21:33:11,25.2,57,13.00361,77.61818
313,1392998899,2014-02-21T21:38:19,25.1,57,13.00361,77.61818
314,1392999155,2014-02-21T21:42:35,25,57,13.00361,77.61818
315,1392999463,2014-02-21T21:47:43,24.9,57,13.00361,77.61818
316,1392999770,2014-02-21T21:52:50,24.9,57,13.00361,77.61818
317,1393000078,2014-02-21T21:57:58,24.8,57,13.00361,77.61818
318,1393000385,2014-02-21T22:03:05,24.8,57,13.00361,77.61818
319,1393000693,2014-02-21T22:08:13,24.8,58,13.00361,77.61818
320,1393001001,2014-02-21T22:13:21,24.7,58,13.00361,77.61818
321,1393001308,2014-02-21T22:18:28,24.6,58,13.00361,77.61818
322,1393001615,2014-02-21T22:23:35,24.6,58,13.00361,77.61818
323,1393001922,2014-02-21T22:28:42,24.5,59,13.00361,77.61818
324,1393002230,2014-02-21T22:33:50,24.5,59,13.00361,77.61818
325,1393002538,2014-02-21T22:38:58,24.4,59,13.00361,77.61818
326,1393002795,2014-02-21T22:43:15,24.3,59,13.00361,77.61818
327,1393003103,2014-02-21T22:48:23,24.3,59,13.00361,77.61818
328,1393003409,2014-02-21T22:53:29,24.2,60,13.00361,77.61818
329,1393003717,2014-02-21T22:58:37,24.2,60,13.00361,77.61818
330,1393004025,2014-02-21T23:03:45,24.1,60,13.00361,77.61818
331,1393004332,2014-02-21T23:08:52,24,60,13.00361,77.61818
332,1393004640,2014-02-21T23:14:00,24,60,13.00361,77.61818
333,1393004947,2014-02-21T23:19:07,23.9,60,13.00361,77.61818
334,1393005256,2014-02-21T23:24:16,23.9,60,13.00361,77.61818
335,1393005564,2014-02-21T23:29:24,23.8,60,13.00361,77.61818
336,1393005870,2014-02-21T23:34:30,23.8,61,13.00361,77.61818
337,1393006127,2014-02-21T23:38:47,23.7,61,13.00361,77.61818
338,1393006434,2014-02-21T23:43:54,23.7,61,13.00361,77.61818
339,1393006742,2014-02-21T23:49:02,23.6,61,13.00361,77.61818
340,1393007049,2014-02-21T23:54:09,23.6,61,13.00361,77.61818
341,1393007357,2014-02-21T23:59:17,23.5,62,13.00361,77.61818
342,1393007665,2014-02-22T00:04:25,23.5,62,13.00361,77.61818
343,1393007972,2014-02-22T00:09:32,23.4,62,13.00361,77.61818
344,1393008280,2014-02-22T00:14:40,23.4,63,13.00361,77.61818
345,1393008588,2014-02-22T00:19:48,23.4,63,13.00361,77.61818
346,1393008895,2014-02-22T00:24:55,23.3,63,13.00361,77.61818
347,1393009203,2014-02-22T00:30:03,23.3,63,13.00361,77.61818
348,1393009510,2014-02-22T00:35:10,23.3,64,13.00361,77.61818
349,1393009767,2014-02-22T00:39:27,23.2,64,13.00361,77.61818
350,1393010074,2014-02-22T00:44:34,23.2,64,13.00361,77.61818
351,1393010382,2014-02-22T00:49:42,23.1,65,13.00361,77.61818
352,1393010690,2014-02-22T00:54:50,23.1,65,13.00361,77.61818
353,1393010997,2014-02-22T00:59:57,23,65,13.00361,77.61818
354,1393011304,2014-02-22T01:05:04,23,66,13.00361,77.61818
355,1393011611,2014-02-22T01:10:11,23,66,13.00361,77.61818
356,1393011920,2014-02-22T01:15:20,22.9,67,13.00361,77.61818
357,1393012228,2014-02-22T01:20:28,22.9,67,13.00361,77.61818
358,1393012535,2014-02-22T01:25:35,22.8,67,13.00361,77.61818
359,1393012843,2014-02-22T01:30:43,22.8,67,13.00361,77.61818
360,1393013151,2014-02-22T01:35:51,22.8,68,13.00361,77.61818
361,1393013458,2014-02-22T01:40:58,22.7,68,13.00361,77.61818
362,1393013765,2014-02-22T01:46:05,22.7,68,13.00361,77.61818
363,1393014021,2014-02-22T01:50:21,22.7,68,13.00361,77.61818
364,1393014329,2014-02-22T01:55:29,22.7,68,13.00361,77.61818
365,1393014636,2014-02-22T02:00:36,22.7,69,13.00361,77.61818
366,1393014945,2014-02-22T02:05:45,22.7,69,13.00361,77.61818
367,1393015253,2014-02-22T02:10:53,22.7,69,13.00361,77.61818
368,1393015559,2014-02-22T02:15:59,22.7,69,13.00361,77.61818
369,1393015867,2014-02-22T02:21:07,22.6,69,13.00361,77.61818
370,1393016174,2014-02-22T02:26:14,22.6,70,13.00361,77.61818
371,1393016482,2014-02-22T02:31:22,22.5,70,13.00361,77.61818
372,1393016790,2014-02-22T02:36:30,22.5,70,13.00361,77.61818
373,1393017097,2014-02-22T02:41:37,22.4,71,13.00361,77.61818
374,1393017405,2014-02-22T02:46:45,22.4,71,13.00361,77.61818
375,1393017661,2014-02-22T02:51:01,22.4,71,13.00361,77.61818
376,1393017969,2014-02-22T02:56:09,22.3,71,13.00361,77.61818
377,1393018276,2014-02-22T03:01:16,22.3,72,13.00361,77.61818
378,1393018584,2014-02-22T03:06:24,22.3,72,13.00361,77.61818
379,1393018892,2014-02-22T03:11:32,22.2,72,13.00361,77.61818
380,1393019198,2014-02-22T03:16:38,22.2,72,13.00361,77.61818
381,1393019506,2014-02-22T03:21:46,22.2,73,13.00361,77.61818
382,1393019815,2014-02-22T03:26:55,22.1,73,13.00361,77.61818
383,1393020122,2014-02-22T03:32:02,22.1,73,13.00361,77.61818
384,1393020430,2014-02-22T03:37:10,22.1,73,13.00361,77.61818
385,1393020737,2014-02-22T03:42:17,22.1,73,13.00361,77.61818
